role_name,permission_name
Super Admin,view.users
Super Admin,create.users
Super Admin,edit.users
Super Admin,delete.users
Super Admin,view.roles
Super Admin,create.roles
Super Admin,edit.roles
Super Admin,delete.roles
Super Admin,view.attendance.all
Super Admin,view.attendance.own
Super Admin,checkin.attendance
Super Admin,manage.attendance
Super Admin,view.schedule.all
Super Admin,view.schedule.own
Super Admin,create.schedule
Super Admin,edit.schedule
Super Admin,delete.schedule
Super Admin,generate.schedule
Super Admin,publish.schedule
Super Admin,input.availability
Super Admin,view.swap.all
Super Admin,view.swap.own
Super Admin,create.swap.request
Super Admin,approve.swap.target
Super Admin,approve.swap.admin
Super Admin,view.leave.all
Super Admin,view.leave.own
Super Admin,create.leave.request
Super Admin,approve.leave.request
Super Admin,view.penalty.all
Super Admin,view.penalty.own
Super Admin,create.penalty
Super Admin,edit.penalty
Super Admin,delete.penalty
Super Admin,appeal.penalty
Super Admin,manage.penalty
Super Admin,view.sales.all
Super Admin,view.sales.own
Super Admin,create.sales
Super Admin,edit.sales
Super Admin,delete.sales
Super Admin,view.products
Super Admin,create.products
Super Admin,edit.products
Super Admin,delete.products
Super Admin,view.purchases
Super Admin,create.purchases
Super Admin,edit.purchases
Super Admin,delete.purchases
Super Admin,manage.stock

Super Admin,view.reports
Super Admin,view.reports.finance
Super Admin,view.reports.sales
Super Admin,view.reports.attendance
Super Admin,export.reports
Super Admin,view.finance
Super Admin,manage.finance
Super Admin,approve.finance
Super Admin,manage.toko
Super Admin,view.toko.reports
Super Admin,manage.psda
Super Admin,view.psda.reports
Super Admin,manage.humsar
Super Admin,view.humsar.reports
Super Admin,manage.produksi
Super Admin,view.produksi.reports
Super Admin,manage.it
Super Admin,manage.system
Super Admin,view.system.logs
Super Admin,manage.desain
Super Admin,view.desain.assets
Super Admin,manage.settings
Super Admin,view.audit.logs
Super Admin,send.notifications
Super Admin,manage.notifications
Super Admin,manage.banners
Ketua,view.users
Ketua,create.users
Ketua,edit.users
Ketua,delete.users
Ketua,view.roles
Ketua,view.attendance.all
Ketua,view.attendance.own
Ketua,checkin.attendance
Ketua,manage.attendance
Ketua,view.schedule.all
Ketua,view.schedule.own
Ketua,create.schedule
Ketua,edit.schedule
Ketua,delete.schedule
Ketua,generate.schedule
Ketua,publish.schedule
Ketua,input.availability
Ketua,view.swap.all
Ketua,view.swap.own
Ketua,create.swap.request
Ketua,approve.swap.target
Ketua,approve.swap.admin
Ketua,view.leave.all
Ketua,view.leave.own
Ketua,create.leave.request
Ketua,approve.leave.request

Ketua,view.penalty.all
Ketua,view.penalty.own
Ketua,create.penalty
Ketua,edit.penalty
Ketua,manage.penalty
Ketua,view.sales.all
Ketua,view.sales.own
Ketua,create.sales
Ketua,edit.sales
Ketua,view.products
Ketua,create.products
Ketua,edit.products
Ketua,view.purchases
Ketua,view.reports
Ketua,view.reports.finance
Ketua,view.reports.sales
Ketua,view.reports.attendance
Ketua,export.reports
Ketua,view.finance
Ketua,approve.finance
Ketua,view.toko.reports
Ketua,view.psda.reports
Ketua,view.humsar.reports
Ketua,view.produksi.reports
Ketua,manage.settings
Ketua,view.audit.logs
Ketua,send.notifications
Ketua,manage.notifications
Ketua,manage.banners
Wakil Ketua,view.users
Wakil Ketua,edit.users
Wakil Ketua,view.attendance.all
Wakil Ketua,view.attendance.own
Wakil Ketua,checkin.attendance
Wakil Ketua,manage.attendance
Wakil Ketua,view.schedule.all
Wakil Ketua,view.schedule.own
Wakil Ketua,create.schedule
Wakil Ketua,edit.schedule
Wakil Ketua,generate.schedule
Wakil Ketua,input.availability
Wakil Ketua,view.swap.all
Wakil Ketua,view.swap.own
Wakil Ketua,create.swap.request
Wakil Ketua,approve.swap.target
Wakil Ketua,approve.swap.admin
Wakil Ketua,view.leave.all
Wakil Ketua,view.leave.own
Wakil Ketua,create.leave.request
Wakil Ketua,approve.leave.request
Wakil Ketua,view.penalty.all
Wakil Ketua,view.penalty.own
Wakil Ketua,create.penalty
Wakil Ketua,view.sales.all
Wakil Ketua,view.sales.own
Wakil Ketua,view.products
Wakil Ketua,edit.products
Wakil Ketua,view.purchases
Wakil Ketua,view.reports
Wakil Ketua,view.reports.finance
Wakil Ketua,view.reports.sales
Wakil Ketua,view.reports.attendance
Wakil Ketua,export.reports
Wakil Ketua,view.finance
Wakil Ketua,view.toko.reports
Wakil Ketua,view.psda.reports
Wakil Ketua,view.humsar.reports
Wakil Ketua,view.produksi.reports
Wakil Ketua,send.notifications

Sekretaris,view.users
Sekretaris,create.users
Sekretaris,edit.users
Sekretaris,view.attendance.all
Sekretaris,view.attendance.own
Sekretaris,checkin.attendance
Sekretaris,manage.attendance
Sekretaris,view.schedule.all
Sekretaris,view.schedule.own
Sekretaris,create.schedule
Sekretaris,edit.schedule
Sekretaris,input.availability
Sekretaris,view.swap.all
Sekretaris,view.swap.own
Sekretaris,create.swap.request
Sekretaris,approve.swap.target
Sekretaris,view.leave.all
Sekretaris,view.leave.own
Sekretaris,create.leave.request
Sekretaris,view.penalty.all
Sekretaris,view.penalty.own
Sekretaris,appeal.penalty
Sekretaris,view.sales.all
Sekretaris,view.sales.own
Sekretaris,view.products
Sekretaris,view.reports
Sekretaris,view.reports.attendance
Sekretaris,export.reports
Sekretaris,view.finance
Sekretaris,send.notifications
Sekretaris,manage.notifications
Sekretaris,view.audit.logs
Bendahara Umum,view.users
Bendahara Umum,view.attendance.all
Bendahara Umum,view.attendance.own
Bendahara Umum,checkin.attendance
Bendahara Umum,view.schedule.all
Bendahara Umum,view.schedule.own
Bendahara Umum,input.availability
Bendahara Umum,view.swap.own
Bendahara Umum,create.swap.request
Bendahara Umum,approve.swap.target
Bendahara Umum,view.leave.own
Bendahara Umum,create.leave.request
Bendahara Umum,view.penalty.own
Bendahara Umum,appeal.penalty
Bendahara Umum,view.sales.all
Bendahara Umum,view.sales.own
Bendahara Umum,edit.sales
Bendahara Umum,view.products
Bendahara Umum,view.purchases
Bendahara Umum,create.purchases
Bendahara Umum,edit.purchases
Bendahara Umum,view.reports
Bendahara Umum,view.reports.finance
Bendahara Umum,view.reports.sales
Bendahara Umum,export.reports
Bendahara Umum,view.finance
Bendahara Umum,manage.finance
Bendahara Umum,approve.finance
Bendahara Umum,view.toko.reports

Bendahara Kegiatan,view.users
Bendahara Kegiatan,view.attendance.all
Bendahara Kegiatan,view.attendance.own
Bendahara Kegiatan,checkin.attendance
Bendahara Kegiatan,view.schedule.all
Bendahara Kegiatan,view.schedule.own
